title,releaseDate,productionCompany
The Ugly Duckling,1939-04-07,Walt Disney Productions
Detouring America,1939-08-26,Leon Schlesinger Productions
Peace on Earth,1939-12-09,Harman-Ising Productions
Peace on Earth,1939-12-09,MGM Cartoons
The Pointer,1939-07-21,Walt Disney Productions
Babes in Arms,1939-09-15,Metro-Goldwyn-Mayer
First Love,1939-11-10,Universal Pictures
The Hunchback of Notre Dame,1939-12-29,RKO Radio Pictures
Intermezzo,1939-09-22,Selznick International Pictures
The Private Lives of Elizabeth and Essex,1939-11-11,Warner Bros. Pictures
She Married a Cop,1939-07-12,Republic Pictures
Swanee River,1939-12-30,20th Century-Fox
They Shall Have Music,1939-07-26,Samuel Goldwyn Productions
Way Down South,1939-07-21,Sol Lesser Productions
Eternally Yours,1939-10-07,Walter Wanger Productions
Golden Boy,1939-09-05,Columbia Pictures
Gulliver's Travels,1939-12-22,Fleischer Studios
The Man in the Iron Mask,1939-07-13,Edward Small Productions
Man of Conquest,1939-05-15,Republic Pictures
Nurse Edith Cavell,1939-09-22,Imperadio Pictures
The Rains Came,1939-09-07,20th Century Fox
When Tomorrow Comes,1939-08-11,Universal Pictures
Captain Fury,1939-05-26,Hal Roach Studios
Only Angels Have Wings,1939-05-15,Columbia Pictures
Rebecca,1940-03-21,Selznick International Pictures
"All This, and Heaven Too",1940-07-04,A Warner Bros. – First National Picture An Anatole Litvak Production
Foreign Correspondent,1940-08-16,Walter Wanger Productions
The Great Dictator,1940-10-15,Charles Chaplin Film Corporation
The Long Voyage Home,1940-10-08,Walter Wanger Productions
The Long Voyage Home,1940-10-08,Argosy Corporation
Our Town,1940-05-24,Sol Lesser Productions
The Philadelphia Story,1940-12-26,Metro-Goldwyn-Mayer
Abe Lincoln in Illinois,1940-04-19,RKO Radio Pictures
The Westerner,1940-09-20,Samuel Goldwyn Productions
They Knew What They Wanted,1940-10-25,RKO Radio Pictures
The Great McGinty,1940-08-15,Paramount Pictures
Angels Over Broadway,1940-10-02,Columbia Pictures
