title,releasedate,budget,boxOffice,runtime,movieLanguage
Les Misérables,2012-12-05,$61 million,$442.8 million,158,English
Argo,2012-08-31,$44.5 million,$232.3 million,120,English
Life of Pi,2012-09-28,$120 million,$609 million,127,English
Lincoln,2012-10-08,$65 million,$275.3 million,150,English
Skyfall,2012-10-23,$150–200 million,$1.109 billion,143,English
Lincoln,2012-10-08,$65 million,$275.3 million,150,English
Anna Karenina,2012-09-07,$40.6 million,$68.9 million,130,English
The Hobbit: An Unexpected Journey,2012-11-28,$200–315 million,$1.017 billion,169,English
Les Misérables,2012-12-05,$61 million,$442.8 million,158,English
Life of Pi,2012-09-28,$120 million,$609 million,127,English
Life of Pi,2012-09-28,$120 million,$609 million,127,English
Anna Karenina,2012-09-07,$40.6 million,$68.9 million,130,English
Django Unchained,2012-12-11,$100 million,$426 million,165,English
Lincoln,2012-10-08,$65 million,$275.3 million,150,English
Skyfall,2012-10-23,$150–200 million,$1.109 billion,143,English
Les Misérables,2012-12-05,$61 million,$442.8 million,158,English
Hitchcock,2012-11-01,$15 million,$27 million,98,English
The Hobbit: An Unexpected Journey,2012-11-28,$200–315 million,$1.017 billion,169,English
Anna Karenina,2012-09-07,$40.6 million,$68.9 million,130,English
Les Misérables,2012-12-05,$61 million,$442.8 million,158,English
Lincoln,2012-10-08,$65 million,$275.3 million,150,English
Mirror Mirror,2012-03-30,$85–100 million,$183 million,106,English
Snow White and the Huntsman,2012-05-30,$170 million,$396.6 million,127,English
Argo,2012-08-31,$44.5 million,$232.3 million,120,English
Life of Pi,2012-09-28,$120 million,$609 million,127,English
Lincoln,2012-10-08,$65 million,$275.3 million,150,English
Silver Linings Playbook,2012-09-08,$21 million,$236.4 million,122,English
Zero Dark Thirty,2012-12-10,$40–52.5 million,$132.8 million,157,English
Life of Pi,2012-09-28,$120 million,$609 million,127,English
The Hobbit: An Unexpected Journey,2012-11-28,$200–315 million,$1.017 billion,169,English
The Avengers,2012-04-11,$220–225 million,$1.521 billion,143,English
Prometheus,2012-05-31,$120–130 million,$403.4 million,124,English
Snow White and the Huntsman,2012-05-30,$170 million,$396.6 million,127,English
12 Years a Slave,2013-08-30,$20–22 million,$187.7 million,134,English
American Hustle,2013-12-08,$40 million,$251.2 million,138,English
Captain Phillips,2013-09-27,$55 million,$218 million,134,English
Dallas Buyers Club,2013-09-07,$5 million,$55 million,117,English
Gravity,2013-08-28,$80–130 million,$723.2 million,91,English
Her,2013-10-12,$23 million,$48.3 million,126,English
Nebraska,2013-05-23,$13.5 million,$27.7 million,115,English
Philomena,2013-08-31,$12 million,$100.1 million,98,English
The Wolf of Wall Street,2013-12-17,$100 million,$407 million,180,English
Gravity,2013-08-28,$80–130 million,$723.2 million,91,English
American Hustle,2013-12-08,$40 million,$251.2 million,138,English
Nebraska,2013-05-23,$13.5 million,$27.7 million,115,English
12 Years a Slave,2013-08-30,$20–22 million,$187.7 million,134,English
The Wolf of Wall Street,2013-12-17,$100 million,$407 million,180,English
Dallas Buyers Club,2013-09-07,$5 million,$55 million,117,English
American Hustle,2013-12-08,$40 million,$251.2 million,138,English
Nebraska,2013-05-23,$13.5 million,$27.7 million,115,English
The Wolf of Wall Street,2013-12-17,$100 million,$407 million,180,English
12 Years a Slave,2013-08-30,$20–22 million,$187.7 million,134,English
Blue Jasmine,2013-07-26,$18 million,$99.1 million,98,English
